replicate,best_c,best_weight,intercept
1,1.0,None,-1.2879960540071222
2,1.0,None,-1.6135856975487273
3,10.0,None,-1.0533775296103065
4,0.1,None,-0.4162306549904747
5,0.1,None,-0.20803362731984787
6,1.0,None,-0.8522814616864905
7,0.1,None,-0.7790533451974242
8,0.1,None,-0.20824139655761623
9,1.0,None,-1.089287850978499
10,0.1,None,-0.4229524142389113
11,0.1,None,-0.3837567082715897
12,0.1,None,-0.4878301756263032
13,0.1,None,-0.7705505488583511
14,0.1,balanced,0.0
15,0.1,None,0.0
16,1.0,None,-1.0295376727178993
17,0.1,None,-0.3833419953406448
18,10.0,None,-1.4195347762122161
19,1.0,None,0.005057499427965404
20,1.0,None,-0.658058551706426
21,1.0,None,-0.8435150136332614
22,0.1,None,-0.18766996315836995
23,0.1,None,-0.5745197686650322
24,0.1,None,-0.5457301284755384
25,0.1,balanced,0.0
26,0.1,None,-0.49260058022179076
27,1.0,None,-1.1877332724675576
28,1.0,None,-1.2553938271436622
29,0.1,None,-0.6783268964903125
30,0.1,None,-0.07592823473778745
31,0.1,balanced,0.0
32,0.1,balanced,0.0
33,0.1,balanced,0.0
34,0.1,None,-0.30922418463602874
35,0.1,None,-0.33340888381982364
36,0.1,None,-0.3006805336211001
37,0.1,None,-0.2685989258383198
38,0.1,None,-0.4126813296067889
39,0.1,None,-0.47035718116238956
40,0.1,balanced,0.0
41,1.0,balanced,-0.43611196595941965
42,1.0,balanced,-1.1032653791094262
43,0.1,None,-0.23902515926823165
44,0.1,None,-0.4363283348174526
45,1.0,None,-1.4356962468917576
46,1.0,None,0.40065586735742786
47,1.0,None,-0.8183940120368214
48,0.1,None,-0.29754216042468423
49,1.0,None,-0.37512684224710896
50,0.1,balanced,0.0
51,1.0,None,-1.2079359826320717
52,1.0,None,-0.7500798172232379
53,1.0,None,-1.385617080465692
54,1.0,None,-2.1272646204195285
55,0.1,balanced,0.0
56,0.1,None,-0.04796904402503327
57,0.1,None,0.0
58,1.0,None,-1.3141392406142554
59,1.0,None,-0.07976508742851246
60,0.1,None,-0.5321031555743754
61,0.1,None,-0.8046796299952207
62,0.1,None,-0.5484089558307076
63,1.0,None,-1.5144625238273177
64,0.1,None,-0.8610096637236638
65,0.1,None,-0.5098527573392487
66,0.1,None,-0.722680471168719
67,0.1,None,-0.3465076645402638
68,1.0,None,-1.0586409400247572
69,0.1,None,-0.2526834754283813
70,0.1,None,-0.4873438671410567
71,0.1,None,-0.2984564376733753
72,0.1,None,-0.1701827866534259
73,1.0,None,-1.1572638422072952
74,0.1,None,-1.1395184769837188
75,0.1,None,-0.7524393204381731
76,0.1,None,-0.44448864610491556
77,0.1,None,-0.28013128008280874
78,1.0,None,-2.1388941249314763
79,0.1,None,-0.3930872696150037
80,0.1,None,-0.24704128007863663
81,0.1,None,-0.8159543855125814
82,0.1,None,-0.2229275213450838
83,0.1,balanced,0.0
84,0.1,None,-0.3043133580248106
85,0.1,None,-0.21123659627605654
86,0.1,None,-0.1657353874770164
87,0.1,None,-0.39456608283263134
88,1.0,None,-1.3172980041770537
89,0.1,None,-0.35796167468960516
90,0.1,None,-0.14094319434924552
91,0.1,None,-0.7797340575675556
92,0.1,None,-0.5897499158533548
93,0.1,None,-0.07699082026511628
94,0.1,None,-0.46051660239518494
95,0.1,balanced,0.0
96,0.1,balanced,0.0
97,1.0,balanced,-0.0459856917259546
98,0.1,None,-0.1584715569527928
99,0.1,balanced,0.0
100,1.0,None,-0.9601333963218958
101,1.0,None,-0.7973748139387647
102,1.0,None,-1.1064311834312728
103,1.0,None,-0.7442788314715458
104,0.1,balanced,0.0
105,0.1,None,0.0
106,0.1,None,0.0
107,0.1,None,-0.6183420517803826
108,0.1,None,-0.49942904725922127
109,1.0,None,-0.7878747083120404
110,0.1,balanced,0.0
111,0.1,None,-0.5108479472588875
112,0.1,None,-0.19077180235667549
113,0.1,None,-0.4330818595529586
114,0.1,None,-1.1147407781247691
115,0.1,None,0.0
116,0.1,None,-0.5008795581842753
117,1.0,None,-1.233563443501217
118,0.1,None,-0.16492008877278186
119,0.1,None,-0.34680076732834164
120,1.0,None,-1.0861494815432737
121,0.1,None,-0.6630333650591475
122,1.0,None,-0.9635643257807909
123,0.1,None,-0.5572926285740409
124,1.0,None,-1.08313173683149
125,0.1,None,-0.6621783482693263
126,0.1,None,0.0
127,0.1,None,-0.7596838525322336
128,1.0,None,-1.811552306730675
129,0.1,None,-0.8833321450791889
130,1.0,balanced,-0.30225402780196237
131,0.1,None,-0.7819964669154684
132,1.0,None,-0.8666949056351827
133,0.1,None,-0.09482739208333092
134,1.0,None,-1.2981294242197883
135,0.1,None,0.12008505719243977
136,0.1,balanced,0.0
137,0.1,None,-0.7877323191655559
138,0.1,None,-0.7146239731283517
139,0.1,balanced,-0.015111252501909651
140,0.1,None,-0.24150056342834322
