feature,feature_label,selection_freq,positive_freq,negative_freq,median_coef,median_abs_coef,nonzero_median_coef
bmi_risk,BMI Risk,0.9785714285714285,0.9785714285714285,0.0,1.0150724475589705,1.0150724475589705,1.0288034982834153
quality_of_sleep,Quality of Sleep,0.8428571428571429,0.0,0.8428571428571429,-0.311908442584491,0.311908442584491,-0.3946400731688673
systolic_bp,Systolic BP,0.7571428571428571,0.7571428571428571,0.0,0.4434189662241125,0.4434189662241125,0.6162412067155503
diastolic_bp,Diastolic BP,0.7357142857142858,0.7285714285714285,0.007142857142857143,0.39671741084195467,0.39671741084195467,0.6758243008798726
male,Male,0.55,0.1,0.45,0.0,0.030001835179380425,-0.15778914697884236
heart_rate,Heart Rate,0.44285714285714284,0.39285714285714285,0.05,0.0,0.0,0.16697655504654135
age,Age,0.4,0.4,0.0,0.0,0.0,0.660259851848723
daily_steps,Daily Steps,0.2785714285714286,0.05714285714285714,0.22142857142857142,0.0,0.0,-0.08681251976071316
sleep_duration,Sleep Duration,0.24285714285714285,0.12142857142857143,0.12142857142857143,0.0,0.0,0.008018014382731638
physical_activity_level,Physical Activity Level,0.20714285714285716,0.07857142857142857,0.12857142857142856,0.0,0.0,-0.16432312861269857
stress_level,Stress Level,0.12857142857142856,0.05,0.07857142857142857,0.0,0.0,-0.18336957327163778
