repeat,fold,accuracy,macro_f1,macro_auc_ovr,best_c,best_weight,recall_none,recall_insomnia,recall_sleep_apnea
1,1,0.9333333333333333,0.9219350292118484,0.9679991412208472,1.0,None,0.9318181818181818,0.9333333333333333,0.9375
1,2,0.88,0.8482404692082112,0.8847384221290727,10.0,None,0.9318181818181818,0.8125,0.8
1,3,0.8933333333333333,0.8705910987980442,0.942964460994122,10.0,None,0.8863636363636364,0.875,0.9333333333333333
1,4,0.8666666666666667,0.8331939366422126,0.8672315647821388,0.1,balanced,0.9090909090909091,0.6666666666666666,0.9375
1,5,0.8513513513513513,0.8170594837261503,0.871948610691539,1.0,None,0.9302325581395349,0.8,0.6875
2,1,0.9066666666666666,0.8977971084531434,0.9219776474839049,10.0,None,0.9534883720930233,0.8125,0.875
2,2,0.9459459459459459,0.9428294573643411,0.9663670604348571,100.0,None,0.9318181818181818,1.0,0.9333333333333333
2,3,0.8666666666666667,0.83076829813514,0.9314268321082154,0.1,None,0.9090909090909091,0.8,0.8125
2,4,0.84,0.8154069767441859,0.8749360609926494,1.0,None,0.8636363636363636,0.7333333333333333,0.875
2,5,0.8666666666666667,0.8128054740957967,0.9154803134313796,1000.0,None,0.9545454545454546,0.75,0.7333333333333333
3,1,0.88,0.833702473237357,0.926137553317023,0.1,None,0.9318181818181818,0.625,1.0
3,2,0.92,0.9017921146953404,0.9455142155989189,100.0,None,0.9302325581395349,0.8666666666666667,0.9411764705882353
3,3,0.9210526315789473,0.9033803839838322,0.8897648358585858,10.0,None,0.9772727272727273,0.9375,0.75
3,4,0.8108108108108109,0.7922356091030789,0.8886406437253895,1.0,None,0.7954545454545454,0.7333333333333333,0.9333333333333333
3,5,0.918918918918919,0.8868483361315597,0.9179464132853964,1000.0,None,0.9772727272727273,0.8666666666666667,0.8
4,1,0.9066666666666666,0.8779040404040405,0.9236965932332253,10.0,None,0.9545454545454546,0.8125,0.8666666666666667
4,2,0.8933333333333333,0.870830150241915,0.9258952289433426,1.0,None,0.9318181818181818,0.875,0.8
4,3,0.918918918918919,0.8867741453948351,0.9275471830406462,1.0,None,0.9767441860465116,1.0,0.6875
4,4,0.8157894736842105,0.7568710359408034,0.937767011624263,0.1,None,0.8666666666666667,0.4666666666666667,1.0
4,5,0.8243243243243243,0.7833691616181356,0.8448251744287134,0.1,balanced,0.8837209302325582,0.6,0.875
5,1,0.92,0.8880813953488372,0.9355353271580608,10.0,None,0.9767441860465116,0.875,0.8125
5,2,0.8933333333333333,0.8617952928297755,0.9105009982272146,1.0,balanced,0.9318181818181818,1.0,0.6875
5,3,0.7866666666666666,0.7077067977067978,0.8581538089110534,0.01,balanced,0.8863636363636364,0.375,0.9333333333333333
5,4,0.8933333333333333,0.8826018359150889,0.9453403729292192,0.1,None,0.8636363636363636,0.9333333333333333,0.9375
5,5,0.8513513513513513,0.8063299663299665,0.8542907892484163,0.1,None,0.9318181818181818,0.6,0.8666666666666667
