model,feature,coef,odds_ratio,ci_low,ci_high,p_value
orig_quality_hr,age,0.10968228810618667,1.1159234719721447,0.999818132916701,1.2455117128808024,0.050380491036099845
orig_quality_hr,quality_of_sleep,-1.066027293191123,0.34437390002800244,0.1667014288593928,0.7114119166940451,0.003979063483445988
orig_quality_hr,heart_rate,0.034967474038756156,1.0355860248209163,0.9470873728520891,1.1323542532034951,0.4429630211038196
orig_quality_hr,diastolic_bp,0.22844512986745666,1.2566445709859835,1.0670079124220169,1.4799848805282039,0.006199386664244104
orig_quality_hr,male,-0.10542271058411716,0.8999440263069961,0.260898925647346,3.1042644137997657,0.8674682930019015
orig_quality_hr,bmi_risk,1.4560968174691946,4.289185339991282,0.9346946607280726,19.682482048700113,0.06105622008775308
orig_quality_pa,age,0.1013539772168516,1.1066683078064812,0.9925119655357415,1.2339546383626518,0.06805364532498819
orig_quality_pa,quality_of_sleep,-1.0084730847355408,0.36477553589007317,0.17206725410365695,0.7733092056187006,0.008525212884253985
orig_quality_pa,physical_activity_level,-0.010888945803530245,0.9891701241691713,0.9538981704139535,1.0257463164273002,0.5566800007743795
orig_quality_pa,diastolic_bp,0.26407180341304076,1.3022216969063962,1.0767651932034628,1.5748849968382512,0.006479464562484357
orig_quality_pa,male,0.1018286799379589,1.1071937709730901,0.2517106472824599,4.870187493920267,0.8928229561388583
orig_quality_pa,bmi_risk,1.405096594041689,4.075920431881254,0.881835736905978,18.839253924224185,0.07202419542754519
orig_sleep_pa,age,0.029138191554050195,1.0295668620894838,0.927618388949102,1.1427198254593336,0.5839014594555998
orig_sleep_pa,sleep_duration,-0.7000126066218046,0.49657904356775107,0.2138127637973188,1.1533022731253555,0.1034800113825833
orig_sleep_pa,physical_activity_level,-0.020589810643354103,0.979620712157211,0.9427540557679752,1.017929049274317,0.29279314380340593
orig_sleep_pa,diastolic_bp,0.2788091053759409,1.3215550420358506,1.0918319044734635,1.5996122864468165,0.004213200674661039
orig_sleep_pa,male,-0.04633416799572571,0.9547228710503682,0.22215516171186173,4.102969084683616,0.9503364389445005
orig_sleep_pa,bmi_risk,1.9704768070727627,7.174096332850984,1.7571625763344616,29.290208479394273,0.006045034945495145
