feature,feature_label,welch_fdr_full,kruskal_fdr_full,eta_squared_full,epsilon_squared_full,robust_keep_full,welch_fdr_dedup,kruskal_fdr_dedup,eta_squared_dedup,epsilon_squared_dedup,robust_keep_dedup,consistency
map_bp,Mean Arterial Pressure,1.5244909266511304e-47,6.826524300168305e-45,0.5761983994992145,0.5540428844722032,True,4.11993493762952e-09,1.9336315241978173e-10,0.348262830450252,0.357215930385536,True,stable_keep
systolic_bp,Systolic BP,5.009052298632404e-47,1.26695228688186e-44,0.5363490060445799,0.5485234840055032,True,4.11993493762952e-09,1.9336315241978173e-10,0.3450957023664475,0.358064982518213,True,stable_keep
diastolic_bp,Diastolic BP,1.92454552177725e-47,1.8969819891571408e-45,0.5910474949071451,0.5646827693285505,True,6.004140941151241e-09,1.9336315241978173e-10,0.34405820522628405,0.35950166194547895,True,stable_keep
rate_pressure_product,Rate Pressure Product,2.8361296536868894e-33,1.1910944698463113e-38,0.4771853733155452,0.4728283303929699,True,1.1243613536182798e-08,1.204409668946285e-09,0.34526492359474936,0.32439644422409175,True,stable_keep
pulse_pressure,Pulse Pressure,4.2748084827903666e-20,1.2175934543798853e-17,0.20463893410102713,0.20985390566920473,True,9.065904991031608e-07,6.490326608846196e-07,0.22137126072829919,0.22342532723064307,True,stable_keep
sleep_duration,Sleep Duration,7.700788796371166e-22,4.267855650878936e-10,0.14678698597894865,0.11293494807423407,True,0.00019388837977927066,0.0025098729304727603,0.11109434647745252,0.08462647185664592,True,stable_keep
heart_rate,Heart Rate,1.922267938319636e-09,9.907597387356472e-09,0.15083014114813922,0.09508141954733429,True,0.0003147950125439776,0.000791979694106872,0.16457984019366614,0.10802563377390612,True,stable_keep
quality_of_sleep,Quality of Sleep,3.286575070724615e-16,3.7223226153264796e-11,0.12951912418949918,0.12716685895107946,True,0.0006399432204570573,0.0016890994746765141,0.11396173600205288,0.09421251050923865,True,stable_keep
physical_activity_level,Physical Activity Level,4.859893136116572e-22,1.029070618480171e-15,0.1922511099136751,0.18438419133537962,True,0.0015400234544971556,0.0025098729304727603,0.10207611079353818,0.08461281832054794,True,stable_keep
sleep_deficit_7h,Sleep Deficit (vs 7h),9.44339564093199e-15,9.596368995044842e-16,0.1395904965238681,0.18548062136843732,True,0.0015400234544971556,0.000532493680434363,0.10186548098034645,0.11657005862312773,True,stable_keep
sleep_stress_balance,Sleep-Stress Balance,2.8332609358616664e-08,1.867246258370845e-05,0.06693921024301386,0.054026911596548335,True,0.004611674498936882,0.009152509772690805,0.08018352262540597,0.0630762882891467,True,stable_keep
daily_steps,Daily Steps,8.268107567591297e-12,4.989618506432222e-09,0.11782996930052521,0.09921071942951011,True,0.006418494412034279,0.010561151223618828,0.07123142074854856,0.05950783041410263,True,stable_keep
stress_level,Stress Level,0.0005404446866526058,0.006597414032606761,0.03437502667345304,0.021676967762641622,True,0.029781803432287795,0.03471825078288381,0.053661596541244,0.03866699478699177,True,stable_keep
age,Age,7.094667595722621e-17,1.2600963229683166e-18,0.23947034333101175,0.22306465940084513,True,0.04776717316716277,0.038159045810155647,0.05915744968739921,0.03613226292755362,True,stable_keep
sleep_quality_per_hour,Sleep Quality per Hour,0.0002723413508922574,0.0006068787289086468,0.043537562311600754,0.03488797895219655,True,0.026236757540167927,0.09696834305651218,0.06664408890600551,0.02067241417035644,False,weakened_after_dedup
steps_per_activity,Steps per Activity,2.3628934826659233e-10,1.182360304565035e-10,0.09439274441266361,0.12036841973291214,True,0.09372916066180316,0.03471825078288381,0.04262758518385757,0.038795218171493125,False,weakened_after_dedup
