dataset,feature,feature_label,f_stat,p_value,eta_squared
Full,age,Age,58.40896314611008,8.852104933456485e-23,0.23947034333101175
Full,heart_rate,Heart Rate,32.9486390635785,6.737407844121088e-14,0.15083014114813922
Full,map_bp,Mean Arterial Pressure,252.20481230085974,6.897010858713801e-70,0.5761983994992145
Full,pulse_pressure,Pulse Pressure,47.7274082216169,3.586598886145138e-19,0.20463893410102713
Full,sleep_deficit_7h,Sleep Deficit (vs 7h),30.095015223057516,7.723503540985521e-13,0.1395904965238681
Full,sleep_stress_balance,Sleep-Stress Balance,13.308054133657365,2.6199544993590146e-06,0.06693921024301386
Deduplicated,age,Age,4.055572851769376,0.019581380445783857,0.05915744968739921
Deduplicated,heart_rate,Heart Rate,12.706659718329407,9.180563734855113e-06,0.16457984019366614
Deduplicated,map_bp,Mean Arterial Pressure,34.46627507766616,1.0178308637422748e-12,0.348262830450252
Deduplicated,pulse_pressure,Pulse Pressure,18.33793899044978,9.790676589816445e-08,0.22137126072829919
Deduplicated,sleep_deficit_7h,Sleep Deficit (vs 7h),7.315522768687364,0.0009784070073122098,0.10186548098034645
Deduplicated,sleep_stress_balance,Sleep-Stress Balance,5.622683803295753,0.004557497536521688,0.08018352262540597
