comparison,feature,feature_label,coefficient,odds_ratio,ci_low,ci_high,p_value
Insomnia vs None,pulse_pressure,Pulse Pressure,0.8567244028904824,2.355432595346399,1.3575679038971986,4.086766264356525,0.002309120876080971
Insomnia vs None,sleep_stress_balance,Sleep-Stress Balance,-0.6882480228076674,0.5024555891238515,0.278139129050403,0.9076810584103283,0.022549415534178132
Insomnia vs None,bmi_risk,BMI Risk,1.633215500079649,5.1203126420095755,1.0212547724092087,25.67195009534594,0.04708519563644481
Insomnia vs None,sleep_deficit_7h,Sleep Deficit (vs 7h),-3.205823245821454,0.04052552543187193,0.0012833527776862019,1.279709087076031,0.0687665858183142
Insomnia vs None,male,Male,-1.4366468390287253,0.23772354905652385,0.046792169388797586,1.2077338262833148,0.08320828240844062
Insomnia vs None,heart_rate,Heart Rate,-0.17705661750086613,0.8377323528680616,0.6803922214387,1.0314572579296994,0.09528535461746475
Insomnia vs None,age,Age,-0.04643250043437946,0.9546289954378039,0.8516519578551638,1.0700574460319314,0.4252852068195726
Insomnia vs None,map_bp,Mean Arterial Pressure,-0.011688194612969842,0.9883798469812157,0.8343611005725835,1.1708296578642192,0.8924283010057888
Sleep Apnea vs None,map_bp,Mean Arterial Pressure,0.2791687818276679,1.3220304597572863,1.0703878274199192,1.6328329711473855,0.009559619075216307
Sleep Apnea vs None,heart_rate,Heart Rate,0.14935660423371627,1.1610869639191779,0.9563215453078191,1.4096962934669872,0.1313503142570095
Sleep Apnea vs None,sleep_deficit_7h,Sleep Deficit (vs 7h),-1.5105921564816696,0.22077920340738472,0.007571376270204391,6.437859501055215,0.3800405679497457
Sleep Apnea vs None,sleep_stress_balance,Sleep-Stress Balance,-0.18503821125058437,0.8310725269248135,0.512846376072955,1.3467610911048769,0.45249067593811043
Sleep Apnea vs None,male,Male,-0.5950062418042414,0.5515591231330111,0.11019043797643828,2.760833624931287,0.4690045058635557
Sleep Apnea vs None,pulse_pressure,Pulse Pressure,-0.15065163176045132,0.8601472944700701,0.5356199690721473,1.381302809650333,0.5330488283132939
Sleep Apnea vs None,age,Age,-0.04269043532312161,0.9582079715001742,0.8340693820946732,1.1008227089461249,0.5464774320698873
Sleep Apnea vs None,bmi_risk,BMI Risk,0.5774733318423897,1.7815314006013692,0.266648297736473,11.90277289699925,0.5512296445855175
