feature,feature_label,coefficient,abs_coefficient
num__diastolic_bp,Diastolic BP,0.00879786041316468,0.00879786041316468
num__systolic_bp,Systolic BP,0.008602501370749046,0.008602501370749046
num__age,Age,0.006000879958332515,0.006000879958332515
cat__bmi_category_Overweight,BMI Category: Overweight,0.004884934011483212,0.004884934011483212
num__sleep_duration,Sleep Duration,-0.00475513126805298,0.00475513126805298
num__quality_of_sleep,Quality of Sleep,-0.004557455885411547,0.004557455885411547
num__heart_rate,Heart Rate,0.0042577555837068695,0.0042577555837068695
num__stress_level,Stress Level,0.0026025729029238195,0.0026025729029238195
cat__gender_Male,Gender: Male,-0.0019878516483630665,0.0019878516483630665
num__physical_activity_level,Physical Activity Level,0.0005464945748015091,0.0005464945748015091
cat__bmi_category_Obese,BMI Category: Obese,0.0002971377710745033,0.0002971377710745033
num__daily_steps,Daily Steps,-0.00010283194395376657,0.00010283194395376657
